# Time, setPoint, Actual Brake Current, MotorCurrent, MotorSpeed, trials: 6 , atrials: 0 , pts: 50 , timeLength: 5.00
nan,nan,nan,nan,nan,nan,nan
0.02,0.00,0.60,0.06,2.97,16.84,nan
0.04,0.00,-0.50,0.00,3.20,16.84,nan
0.07,0.00,0.00,0.12,3.08,16.84,nan
0.09,0.00,-1.00,0.18,2.85,16.84,nan
0.11,0.00,-0.50,0.12,3.03,16.84,nan
0.14,0.00,2.20,0.06,2.97,16.19,nan
nan,nan,nan,nan,nan,nan,nan
0.16,0.00,1.70,0.18,3.14,16.84,nan
0.19,0.00,1.10,0.06,3.03,17.48,nan
0.21,0.00,2.80,0.06,2.97,16.84,nan
0.24,0.00,3.30,0.12,2.85,16.19,nan
0.26,0.00,0.60,0.18,3.08,16.84,nan
nan,nan,nan,nan,nan,nan,nan
0.28,0.00,1.70,0.06,3.03,16.84,nan
0.31,0.00,1.10,0.12,2.91,16.84,nan
0.33,0.00,1.70,0.24,3.08,16.84,nan
0.36,0.00,1.10,0.00,2.97,16.84,nan
nan,nan,nan,nan,nan,nan,nan
0.38,0.00,1.70,0.18,2.91,17.48,nan
0.41,0.00,2.80,0.06,3.14,16.84,nan
0.43,0.00,1.10,0.06,3.08,18.12,nan
0.45,0.00,0.00,0.00,3.03,16.84,nan
0.47,0.00,0.60,1.38,2.74,16.84,nan
0.50,0.00,1.10,0.06,2.97,17.48,nan
nan,nan,nan,nan,nan,nan,nan
0.52,0.00,-0.50,0.00,3.08,16.19,nan
0.55,0.00,1.70,0.00,3.31,17.48,nan
0.57,0.00,1.10,0.06,2.97,16.84,nan
0.60,0.00,-0.50,0.18,2.85,17.48,nan
nan,nan,nan,nan,nan,nan,nan
0.62,0.00,1.70,0.96,2.80,16.84,nan
0.65,0.00,1.10,0.12,2.97,16.84,nan
0.67,0.00,0.00,0.00,3.20,16.84,nan
0.69,0.00,-0.50,0.06,3.08,16.84,nan
0.72,0.00,1.70,0.00,2.97,16.84,nan
nan,nan,nan,nan,nan,nan,nan
0.74,0.00,3.30,0.00,2.91,16.19,nan
0.77,0.00,1.70,0.00,3.14,16.84,nan
0.79,0.00,0.00,0.00,3.03,16.84,nan
0.81,0.00,0.60,0.18,2.97,16.84,nan
0.84,0.00,-0.50,0.06,3.20,16.84,nan
nan,nan,nan,nan,nan,nan,nan
0.86,0.00,2.80,0.06,3.08,16.84,nan
0.89,0.00,0.00,1.92,2.74,16.19,nan
0.91,0.00,-0.50,0.00,2.97,16.84,nan
0.94,0.00,1.10,0.12,3.14,16.19,nan
0.96,0.00,1.10,0.12,3.14,16.84,nan
nan,nan,nan,nan,nan,nan,nan
0.98,0.00,-1.00,0.06,3.03,16.84,nan
1.01,0.00,2.20,0.00,2.97,16.84,nan
1.03,0.00,0.60,0.00,2.91,16.84,nan
1.05,0.00,2.80,0.06,3.14,16.84,nan
1.08,0.00,0.60,0.06,3.03,17.48,nan
1.10,0.00,0.60,0.18,2.97,16.84,nan
nan,nan,nan,nan,nan,nan,nan
1.12,0.00,0.00,0.06,2.91,16.19,nan
1.14,0.00,0.00,0.06,2.91,16.19,nan
1.17,0.00,1.70,0.12,3.03,16.19,nan
1.19,0.00,1.70,0.06,3.25,16.84,nan
1.22,0.00,0.00,0.12,3.08,16.84,nan
1.24,0.00,-2.70,0.30,2.85,16.84,nan
nan,nan,nan,nan,nan,nan,nan
1.26,0.00,1.70,1.86,2.80,17.48,nan
1.29,0.00,4.90,0.06,2.97,17.48,nan
1.31,0.00,2.20,0.18,3.14,17.48,nan
1.34,0.00,1.10,0.06,3.08,16.84,nan
nan,nan,nan,nan,nan,nan,nan
1.36,0.00,0.00,0.12,2.97,16.84,nan
1.39,0.00,4.40,0.12,2.91,17.48,nan
1.41,0.00,0.00,0.06,3.14,16.84,nan
1.44,0.00,0.00,0.00,3.03,17.48,nan
nan,nan,nan,nan,nan,nan,nan
1.46,0.00,1.10,0.06,2.97,16.84,nan
1.48,0.00,-0.50,0.06,2.91,16.84,nan
1.51,0.00,2.20,0.06,3.08,16.84,nan
